time,Rn_exch__Bqm3,Rn_air__Bqm3,depth__m,temp_wat__C,Rn_wat__Bqm3,wind__ms,meas_t__h,temp_wat__K,mole_diff_Rn__m2s,dens_wat__kgm3,abs_visc_wat__kgsm,kin_visc_wat__m2s,schm_num,k_piston_Rn__ms,kw_air,lambda__s,Rn_ss__Bqm3,Rn_ini_inv__Bqm2,Rn_ss_flux__Bqm2s,mc_Rn_water__Bqm3,mc_Rn_air_exch__Bqm3,grad_Rn_conc__Bqm3,f_Rn_atm__Bqm2s,m_inv_Rn_decay_corr__Bqm2,m_SGD_inv_Rn__Bqm2,m_air_loss_inv_Rn__Bqm2,m_net_inv_Rn__Bqm2,final_Rn_wat_no_temp_corr__Bqm3,R_tem_sol_corr,final_mc_Rn__Bqm3,sq_err
2008-12-09T07:25:00Z,127.0357725,3.175526,1.163564053,14.571333,37.10864945,1.490133,0.5,287.72133299999996,1.0049625679859993e-9,999.1651214523497,0.0011487356456371417,1.149695501747881e-6,1144.018233486979,1.5385874084008827e-6,0.29968564039569373,2.089202294801147e-6,37.407607706929355,43.52614763650875,9.09349275260476e-5,31.251636607255605,31.251650209653796,30.29999066675062,4.6619184114526775e-5,38.39840113617614,4.546744001496379e-5,2.33095798824565e-5,38.39842329403627,33.00069574600056,1.2998067790647805,42.89452804450579,33.47639111036028
2008-12-09T07:55:00Z,129.2116101,2.8778205,1.165083974,15.360667,36.10195721,1.78816,0.5,288.51066699999996,1.0267819967611498e-9,999.0464335114733,0.0011253931788875692,1.1264673403937884e-6,1097.0852079088677,2.1181015521259303e-6,0.2921118070816298,2.089202294801147e-6,37.407607706929355,43.58300424502228,9.105371248302868e-5,31.251615394485643,31.251636607255605,30.410991260544044,6.441356779064644e-5,38.39838318302019,4.552683246243311e-5,3.220676707343404e-5,38.39839650308558,32.95762139037505,1.2669572909407296,41.75589871259982,31.96705451482072
2008-12-09T08:25:00Z,127.0895765,2.580115,1.174310836,16.76,33.61597191,1.78816,0.5,289.90999999999997,1.0663276438113983e-9,998.8182582354498,0.0010857480569873273,1.0870326488679242e-6,1019.4171136579744,2.22441782987449e-6,0.27940180603151277,2.089202294801147e-6,37.407607706929355,43.92815907908426,9.177481075441267e-5,31.2515929089057,31.251615394485643,30.530726603716648,6.791309261633074e-5,38.39835639209748,4.588738140980709e-5,3.395652857235974e-5,38.39836832295032,32.69864089285328,1.2118310409640891,39.62522803129732,36.111159131349304
2008-12-09T08:55:00Z,180.8893671,2.2824095,1.179871104,18.536,43.09178579,2.086187,0.5,291.686,1.1181344935927683e-9,998.4969477000847,0.0010384250967580813,1.039988253494381e-6,930.1101606772819,3.026144314857821e-6,0.26450612888637165,2.089202294801147e-6,37.407607706929355,44.136155403173646,9.220935715201042e-5,31.251560036517954,31.2515929089057,30.64788160752722,9.274491268905407e-5,38.39832821199166,4.610465449512225e-5,4.637243212378136e-5,38.39832794421403,32.54451084871558,1.1472250020946573,37.33587652658733,33.13049144863985
2008-12-09T09:25:00Z,165.6692648,1.984704,1.21713697,22.118,38.82175326,2.831253,0.5,295.268,1.228271525619668e-9,997.7461974247041,9.521108049820769e-4,9.54261522057997e-7,776.9141449213098,5.561910220219866e-6,0.23822177318618765,2.089202294801147e-6,37.407607706929355,45.530182299360646,9.512176134253882e-5,31.251496142828483,31.251560036517954,30.778760330388234,1.711887016472841e-4,38.39828783329755,4.756085582979916e-5,8.559430611695266e-5,38.398249799847264,31.548010409910777,1.0332235982324651,32.59614883280328,38.758150483931416
2008-12-09T09:55:00Z,146.2868776,1.9845925,1.215768466,22.707333,34.206414530000004,2.831253,0.5,295.857333,1.2471319879582444e-9,997.6100615001454,9.38972413176973e-4,9.412218755743135e-7,754.7091123171695,5.6705318654332904e-06,0.23433286595472907,2.089202294801147e-6,37.407607706929355,45.47898983858328,9.501480993600624e-5,31.251430777186627,31.251496142828483,30.786440894551223,1.745754941158313e-4,38.39820968901242,4.7507380154463706e-5,8.728770146675036e-5,38.39816990869111,31.58345604654884,1.0163564971730694,32.10005075608998,4.436768348040486
2008-12-09T10:25:00Z,120.5814332,1.984481,1.206771604,22.784667,26.56364883,2.384213,0.5,295.934667,1.2496226810600872e-9,997.5919401780978,9.372691718360809e-4,9.395316201820479e-7,751.8522466197709,4.318258146153119e-6,0.23383105012506433,2.089202294801147e-6,37.407607706929355,45.1424387542939,9.431168663839104e-5,31.251382123830602,31.251430777186627,30.78739750100339,1.3294793005756207e-4,38.39812979793972,4.7155818689279874e-5,6.64739303088389e-5,38.3981104798281,31.818871402469707,1.014180004444292,32.27006314036908,32.563164281585024
2008-12-09T10:55:00Z,144.0873662,1.9843695,1.21377896,24.992667,30.57303685,2.384213,0.5,298.14266699999996,1.3222953490295112e-9,997.0498363180183,8.905879591938714e-4,8.93223113583472e-7,675.5095329035578,4.637936316065773e-6,0.22029634155923983,2.089202294801147e-6,37.407607706929355,45.404567178604694,9.485932594399377e-5,31.251329682963377,31.251382123830602,30.814232782678864,1.429144492744908e-4,38.398070369138786,4.74296381990628e-5,7.145718731450254e-5,38.39804634158967,31.63512270931906,0.9554768049072825,30.22662596914999,0.12000049837128131
2008-12-09T11:25:00Z,127.0895765,1.984258,1.220790148,26.444,26.84141185,2.533227,0.5,299.594,1.3717275772255462e-9,996.6680928235302,8.618411304953354e-4,8.64722304948848e-7,630.3892400397999,5.351510799070873e-6,0.212184021794864,2.089202294801147e-6,37.407607706929355,45.66683894886823,9.540726472828991e-5,31.251268539298987,31.251329682963377,30.830301840244744,1.6498869323668437e-4,38.398006230967354,4.770360744811423e-5,8.24943035308125e-5,38.39797144027127,31.453375916555373,0.9202917749880832,28.946283151614175,4.43048319635895
2008-12-09T11:55:00Z,116.7567219,2.1823715,1.223839574,26.627333,23.7461666,2.68224,0.5,299.777333,1.3780670751409326e-9,996.6184698369487,8.583128538547695e-4,8.612251125500347e-7,624.9515194766253,5.897984294240443e-6,0.21120073579742893,2.089202294801147e-6,37.407607706929355,45.780910680407544,9.564558365159378e-5,31.251200777113567,31.251268539298987,30.790350072715647,1.8160100114304197e-4,38.39793132972719,4.7822766847528115e-5,9.080045314561336e-5,38.397888352040894,31.37493603556318,0.9160270334291014,28.740289580684752,24.94126434620357
