time,Rn_air__Bqm3,Rn_gw__Bqm3,Rn_offshore__Bqm3,Ra226_wat__Bqm3,Rn_exch__Bqm3,Rn_wat__Bqm3,temp_wat__C,sal_wat,wind__ms,depth__m,f_mix_exp__Bqm2hr,f_dif__Bqm2hr,meas_t__min,diff_owl__m,temp_wat__K,kw_air,f_Rn_atm__Bqm2hr,ex_Rn_wat__Bqm3,ex_Rn_wat_inv__Bqm2,f_Rn_gross__Bqm2hr,f_Rn_flood__Bqm2hr,f_Rn_ebb__Bqm2hr,f_Rn_net__Bqm2hr,f_Rn_mix__Bqm2hr,f_Rn_total__Bqm2hr,q_gw__m3m2d
2012-01-26T23:10:00Z,0.17,1000,0.17,0.17,75.93479,14.515888281981788,24.14,33,6.2,1.149,0,8,60,0.04699999999999993,297.28999999999996,0.19116255252673756,1.1495122047719517,14.345888281981788,16.483425635997076,-4.137872288574542,0.007989999999999988,0,-10.99635008380259,10.99635008380259,0,0
2012-01-27T00:10:00Z,0.17,1000,0.17,0.17,85.23293,16.33071284459329,24.05,33,5.1,1.19,0,2,60,0.040999999999999925,297.2,0.19160097915903265,0.9452960811842017,16.160712844593288,19.231248285066012,2.7478226490689366,0.0069699999999999875,0,1.6861487302531382,0,1.6861487302531382,0.04046756952607532
2012-01-27T01:10:00Z,0.17,1000,0.17,0.17,77.48447,14.84610032161869,24.05,33,6.7,1.294,0,9,60,0.10400000000000009,297.2,0.19160097915903265,1.3295225420661874,14.67610032161869,18.990873816174588,-0.24037446889142444,0.01768000000000002,0,-7.9285319268252366,7.9285319268252366,0,0
2012-01-27T02:10:00Z,0.17,1000,0.17,0.17,66.63665,12.777409286095196,24.02,33,4.6,1.413,0,2,60,0.119,297.16999999999996,0.19174747359141248,0.6264653325607813,12.607409286095196,17.814269321252514,-1.1766044949220742,0.02023,0,-2.5703691623612928,2.5703691623612928,0,0
2012-01-27T03:10:00Z,0.17,1000,0.17,0.17,69.73603,13.344492373936559,24.1,33,5.7,1.514,0,10,60,0.10099999999999998,297.25,0.19135721339365833,0.923074321003867,13.174492373936559,19.94618145413995,2.131912132887436,0.017169999999999998,0,-6.962183546108697,6.962183546108697,0,0
2012-01-27T04:10:00Z,0.17,1000,0.17,0.17,52.68945,10.07994064086783,24.11,33,3.6,1.592,0,2,60,0.07800000000000007,297.26,0.1913085188945383,0.3285499246003365,9.90994064086783,15.776625500261588,-4.169555953878362,0.013260000000000013,0,-5.854266029278025,5.854266029278025,0,0
2012-01-27T05:10:00Z,0.17,1000,0.17,0.17,55.78883,10.672878438159184,24.11,33,4.1,1.613,0,11,60,0.020999999999999908,297.26,0.1913085188945383,0.43557267415551515,10.502878438159184,16.941142920750764,1.164517420489176,0.0035699999999999846,0,-9.40347990535531,9.40347990535531,0,0
2012-01-27T06:10:00Z,0.17,1000,0.17,0.17,41.84162,8.000585887750894,24.13,33,3.1,1.557,0,2,60,-0.05600000000000005,297.28,0.19121118847097446,0.20518383890964167,7.830585887750894,12.192222227228141,-4.7489206935226225,0,0.4385128097140505,-6.10522404489893,6.10522404489893,0,0
2012-01-27T07:10:00Z,0.17,1000,0.17,0.17,54.23914,10.373769450950764,24.12,33,2.6,1.457,0,12,60,-0.09999999999999987,297.27,0.19125984392360876,0.20094048311129095,10.203769450950764,14.866892090035265,2.6746698628071233,0,1.020376945095075,-8.10401270898651,8.10401270898651,0,0
2012-01-27T08:10:00Z,0.17,1000,0.17,0.17,23.23488,4.448426074149834,24.08,33,0,1.342,0,2,60,-0.11499999999999999,297.22999999999996,0.19145466101610312,0.03556347710965754,4.278426074149834,5.741647791509078,-9.125244298526187,0,0.4920189985272309,-10.597661822889298,10.597661822889298,0,0
2012-01-27T09:10:00Z,0.17,1000,0.17,0.17,13.94093,2.6697356915551453,24.07,33,0,1.218,0,13,60,-0.12400000000000011,297.21999999999997,0.19150341415925232,0.02123503153383212,2.4997356915551454,3.044678072314167,-2.6969697191949114,0,0.3099672257528383,-15.365767461908241,15.365767461908241,0,0
2012-01-27T10:10:00Z,0.17,1000,0.17,0.17,4.644887,0.8888326328484294,24.1,33,0,1.122,0,2,60,-0.09599999999999986,297.25,0.19135721339365833,0.006898614514411984,0.7188326328484294,0.8065302140559378,-2.238147858258229,0,0.06900793275344912,-4.1622413109903675,4.1622413109903675,0,0
2012-01-27T11:10:00Z,0.17,1000,0.17,0.17,9.293953,1.7631790285156934,24.44,33,0,1.086,0,14,60,-0.03600000000000003,297.59,0.18971249677243832,0.014025717946803535,1.5931790285156935,1.7301924249680432,0.9236622109121053,0,0.05735444502656502,-13.004957626114527,13.004957626114527,0,0
2012-01-27T12:10:00Z,0.17,1000,0.17,0.17,23.23488,4.325461256020365,25.19,33,0,1.077,0,2,60,-0.009000000000000119,298.34,0.1861624099638287,0.03523776771494431,4.155461256020365,4.475431772733932,2.745239347765889,0,0.037399151304183774,0.8178762667850172,0,0.8178762667850172,0.019629030402840413
2012-01-27T13:10:00Z,0.17,1000,0.17,0.17,77.48447,13.987441014687953,26.43,33,0,1.117,0,15,60,0.040000000000000036,299.58,0.1805192836020941,0.11695366547400932,13.817441014687953,15.434081613406443,10.95864984067251,0.0068000000000000066,0,-3.9311964938534807,3.9311964938534807,0,0
2012-01-27T14:10:00Z,0.17,1000,0.17,0.17,27.88186,4.969476463408663,26.95,33,2.6,1.197,0,2,60,0.08000000000000007,300.09999999999997,0.1782333195636397,0.10066400727826508,4.799476463408663,5.74497332670017,-9.689108286706272,0.013600000000000013,0,-11.602044279428007,11.602044279428007,0,0
2012-01-27T15:10:00Z,0.17,1000,0.17,0.17,83.68324,14.886054056510067,27.03,33,0,1.274,0,16,60,0.07699999999999996,300.17999999999995,0.17788572785315276,0.12574332434392937,14.716054056510067,18.748252867993827,13.003279541293658,0.013089999999999994,0,-2.8840671343624127,2.8840671343624127,0,0
